series,n_events,n_clean,zero_yes,one_yes,multi_yes,n_scalar,multi_yes_upper95,zero_yes_upper95
KXAAAGASD,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDCA,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDFL,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDGA,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDIL,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDMA,9,9,0,0,9,0,1.0,0.2831
KXAAAGASDMI,9,9,0,0,9,0,1.0,0.2831
KXAAAGASDNC,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDNJ,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDNY,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDOH,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDPA,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDTN,9,9,0,0,9,0,1.0,0.2831
KXAAAGASDTX,12,12,0,0,12,0,1.0,0.2209
KXAAAGASDVA,9,9,0,0,9,0,1.0,0.2831
KXAAAGASDWA,12,12,0,0,12,0,1.0,0.2209
KXALBUMEQUIV,12,12,3,2,7,0,0.819,0.5273
KXALBUMSTREAMS,6,6,0,0,6,0,1.0,0.393
KXALLSVENSKANSPREAD,12,12,6,3,3,0,0.5273,0.7547
KXALLSVENSKANTOTAL,12,12,1,2,9,0,0.9281,0.3387
KXAPFDDHTOTAL,12,12,0,4,8,0,0.8771,0.2209
KXARGNACBBTTS,12,12,8,4,0,0,0.2209,0.8771
KXARGNACBGAME,60,49,0,49,0,11,0.0593,0.0593
KXARGNACBSPREAD,12,12,10,1,1,0,0.3387,0.9695
KXARGNACBTOTAL,12,12,4,2,6,0,0.7547,0.6091
KXARGPREMDIVGAME,60,60,0,60,0,0,0.0487,0.0487
KXARGPREMDIVSPREAD,12,12,10,1,1,0,0.3387,0.9695
KXATP,11,11,0,11,0,0,0.2384,0.2384
KXATPCHALLENGERDOUBLES,60,57,0,57,0,3,0.0512,0.0512
KXATPCHALLENGERMATCH,60,60,0,60,0,0,0.0487,0.0487
KXATPDOUBLES,60,54,0,54,0,6,0.054,0.054
KXATPEXACTMATCH,60,59,0,59,0,1,0.0495,0.0495
KXATPGSPREAD,12,11,3,2,6,1,0.8004,0.5644
KXATPGTOTAL,12,11,3,3,5,1,0.7288,0.5644
KXATPMATCH,60,60,0,60,0,0,0.0487,0.0487
KXATPSETWINNER,60,59,0,59,0,1,0.0495,0.0495
KXATPSSPREAD,12,11,4,7,0,1,0.2384,0.6502
KXATPTOTALSETS,12,11,5,2,4,1,0.6502,0.7288
KXB200WS,10,10,0,0,10,0,1.0,0.2589
KXBELGIANPLBTTS,12,12,7,5,0,0,0.2209,0.819
KXBELGIANPLGAME,56,55,0,55,0,1,0.053,0.053
KXBELGIANPLSPREAD,12,12,6,3,3,0,0.5273,0.7547
KXBELGIANPLTOTAL,12,12,1,2,9,0,0.9281,0.3387
KXBIGGESTQUAKE,10,10,2,3,5,0,0.7776,0.5069
